PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI00000B,,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3",KWGRBVOPPLSCSI-UHFFFAOYSA-N,CNC(C)C(O)c1ccccc1,1,4,3,1,0,4,0,165.12,1.33,12.0,2.0,2.0,3.0,1.0,0.0,1.0,32.26,0.71
PSDI00000C,,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3",DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC12CCC(CC1=O)C2(C)C,2,4,2,2,0,4,0,152.12,2.4,11.0,1.0,0.0,0.0,2.0,0.0,0.0,17.07,0.52
PSDI00001B,,"InChI=1S/C13H12N2O/c1-16-13-9-7-12(8-10-13)15-14-11-5-3-2-4-6-11/h2-10H,1H3",LGCRPKOHRIXSEG-UHFFFAOYSA-N,COc1ccc(N=Nc2ccccc2)cc1,1,2,1,1,0,2,0,212.09,4.11,16.0,3.0,0.0,3.0,2.0,0.0,2.0,33.95,0.7
PSDI000038,,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,XJKSTNDFUHDPQJ-UHFFFAOYSA-N,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,1,1,1,1,0,3,5,230.11,5.02,18.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.58
PSDI0000A8,,"InChI=1S/C10H14/c1-7-5-9(3)10(4)6-8(7)2/h5-6H,1-4H3",SQNZJJAZBFDUTD-UHFFFAOYSA-N,Cc1cc(C)c(C)cc1C,1,1,1,1,0,3,0,134.11,2.92,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.51
PSDI0000F2,,"InChI=1S/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3",LZDKZFUFMNSQCJ-UHFFFAOYSA-N,CCOCCOCC,1,1,1,1,0,3,0,118.1,1.06,8.0,2.0,0.0,5.0,0.0,0.0,0.0,18.46,0.5
PSDI00011E,,"InChI=1S/C3H5N3S/c1-2-5-6-3(4)7-2/h1H3,(H2,4,6)",HMPUHXCGUHDVBI-UHFFFAOYSA-N,Cc1n[nH]c(=N)s1,2,1,1,0,0,2,0,115.02,0.26,7.0,3.0,2.0,0.0,1.0,1.0,1.0,52.53,0.5
PSDI0001E7,,InChI=1S/C12H8N2/c1-3-9-5-6-11-10(4-2-7-13-11)12(9)14-8-1/h1-8H,OZKOMUDCMCEDTM-UHFFFAOYSA-N,c1cnc2c(c1)ccc1ncccc12,1,1,1,1,0,3,0,180.07,2.78,14.0,2.0,0.0,0.0,3.0,2.0,3.0,25.78,0.5
PSDI0002CC,,"InChI=1S/C16H13N/c1-2-9-14(10-3-1)17-16-12-6-8-13-7-4-5-11-15(13)16/h1-12,17H",XQVWYOYUZDUNRW-UHFFFAOYSA-N,c1ccc(Nc2cccc3ccccc23)cc1,1,1,1,1,0,3,0,219.1,4.58,17.0,1.0,1.0,2.0,3.0,0.0,3.0,12.03,0.66
PSDI0002DD,,"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)",CVXBEEMKQHEXEN-UHFFFAOYSA-N,CN=C(O)Oc1cccc2ccccc12,2,2,2,1,1,5,0,201.08,2.76,15.0,2.0,1.0,1.0,2.0,0.0,2.0,41.82,0.57
PSDI0002E6,,InChI=1S/C10H7NO2/c12-11(13)10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,RJKGJBPXVHTNJL-UHFFFAOYSA-N,O=[N+]([O-])c1cccc2ccccc12,1,1,1,1,1,4,0,173.05,2.75,13.0,2.0,0.0,1.0,2.0,0.0,2.0,43.14,0.49
PSDI0002E8,,"InChI=1S/C10H7NO2/c12-9-6-5-7-3-1-2-4-8(7)10(9)11-13/h1-6,12H",YXAOOTNFFAQIPZ-UHFFFAOYSA-N,O=Nc1c(O)ccc2ccccc12,3,1,1,0,0,2,0,173.05,2.94,13.0,3.0,1.0,1.0,2.0,0.0,2.0,49.66,0.67
PSDI0002F2,,"InChI=1S/C18H38O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h19H,2-18H2,1H3",GLDOVTGHNKAZLK-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCO,1,1,1,1,0,4,0,270.29,6.24,19.0,1.0,1.0,16.0,0.0,0.0,0.0,20.23,0.33
PSDI00030E,,InChI=1S/C9H8N2/c1-2-4-9(5-3-1)11-7-6-10-8-11/h1-8H,SEULWJSKCVACTH-UHFFFAOYSA-N,c1ccc(-n2ccnc2)cc1,1,1,1,1,0,2,0,144.07,1.87,11.0,2.0,0.0,1.0,2.0,1.0,2.0,17.82,0.6
PSDI000315,,"InChI=1S/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3",WAPNOHKVXSQRPX-UHFFFAOYSA-N,CC(O)c1ccccc1,1,2,2,2,0,4,0,122.07,1.74,9.0,1.0,1.0,1.0,1.0,0.0,1.0,20.23,0.6
PSDI000324,,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,1,1,1,1,1,3,6,60.06,0.39,4.0,1.0,1.0,1.0,0.0,0.0,0.0,20.23,0.46
PSDI00035B,,"InChI=1S/C18H24O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-17,19-21H,2,4,6-7,9H2,1H3",PROQIPRRNZUXQM-UHFFFAOYSA-N,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,9,64,2,0,0,4,0,288.17,2.58,21.0,3.0,3.0,0.0,4.0,0.0,1.0,60.69,0.69
PSDI00035C,,"InChI=1S/C21H30O3/c1-13(22)21(24)11-8-18-16-5-4-14-12-15(23)6-9-19(14,2)17(16)7-10-20(18,21)3/h12,16-18,24H,4-11H2,1-3H3",DBPWSSGDRRHUNT-UHFFFAOYSA-N,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,10,64,1,0,0,3,0,330.22,3.84,24.0,3.0,1.0,1.0,4.0,0.0,0.0,54.37,0.79
PSDI000370,,"InChI=1S/C10H10N2/c1-2-4-10(5-3-1)8-12-7-6-11-9-12/h1-7,9H,8H2",KKKDZZRICRFGSD-UHFFFAOYSA-N,c1ccc(Cn2ccnc2)cc1,1,1,1,1,0,2,0,158.08,1.93,12.0,2.0,0.0,2.0,2.0,1.0,2.0,17.82,0.65
PSDI000379,,"InChI=1S/C7H11N3O3/c1-5(11)4-9-6(2)8-3-7(9)10(12)13/h3,5,11H,4H2,1-2H3",KPQZUUQMTUIKBP-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CC(C)O,4,2,1,0,0,2,0,185.08,0.48,13.0,5.0,1.0,3.0,1.0,1.0,1.0,81.19,0.55
PSDI0003BA,,"InChI=1S/C7H4ClNO2/c8-4-1-2-6-5(3-4)9-7(10)11-6/h1-3H,(H,9,10)",TZFWDZFKRBELIQ-UHFFFAOYSA-N,Oc1nc2cc(Cl)ccc2o1,2,1,1,0,0,5,0,168.99,2.19,11.0,3.0,1.0,0.0,2.0,1.0,2.0,46.26,0.66
PSDI000412,,"InChI=1S/C6H2Cl4O/c7-2-1-3(8)6(11)5(10)4(2)9/h1,11H",VGVRPFIJEJYOFN-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,2,1,1,1,0,3,1,229.89,4.01,11.0,1.0,1.0,0.0,1.0,0.0,1.0,20.23,0.53
PSDI0004A5,,"InChI=1S/C6H3N3O7/c10-6-4(8(13)14)1-3(7(11)12)2-5(6)9(15)16/h1-2,10H",OXNIZHLAWKMVMX-UHFFFAOYSA-N,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,5,1,1,0,0,3,0,229.0,1.12,16.0,7.0,1.0,3.0,1.0,0.0,1.0,149.65,0.6
