PSDI,InChi,Melting Point (C),Boiling Point (C),Source,Citation,Master Version
PSDI000002,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3",79.5,,BioQuest_MP,"Quest Database-Boiling Point (BP) and Melting Point (MP) Reference Table. AAT Bioquest, Inc., 13 Jan. 2025, https://www.aatbio.com/data-sets/boiling-point-bp-and-melting-point-mp-reference-table.",0.0.1
PSDI000002,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3",35.0,,BioQuest_MP,"Quest Database-Boiling Point (BP) and Melting Point (MP) Reference Table. AAT Bioquest, Inc., 13 Jan. 2025, https://www.aatbio.com/data-sets/boiling-point-bp-and-melting-point-mp-reference-table.",0.0.1
PSDI000002,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3",,212.0,BioQuest_BP,"Quest Database-Boiling Point (BP) and Melting Point (MP) Reference Table. AAT Bioquest, Inc., 13 Jan. 2025, https://www.aatbio.com/data-sets/boiling-point-bp-and-melting-point-mp-reference-table.",0.0.2
PSDI000004,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3",-6.0,,BioQuest_MP,"Quest Database-Boiling Point (BP) and Melting Point (MP) Reference Table. AAT Bioquest, Inc., 13 Jan. 2025, https://www.aatbio.com/data-sets/boiling-point-bp-and-melting-point-mp-reference-table.",0.0.1
PSDI000004,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3",,207.0,BioQuest_BP,"Quest Database-Boiling Point (BP) and Melting Point (MP) Reference Table. AAT Bioquest, Inc., 13 Jan. 2025, https://www.aatbio.com/data-sets/boiling-point-bp-and-melting-point-mp-reference-table.",0.0.2
PSDI000009,"InChI=1S/C8H8Br2/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8H,6H2",75.0,,BioQuest_MP,"Quest Database-Boiling Point (BP) and Melting Point (MP) Reference Table. AAT Bioquest, Inc., 13 Jan. 2025, https://www.aatbio.com/data-sets/boiling-point-bp-and-melting-point-mp-reference-table.",0.0.1
PSDI000009,"InChI=1S/C8H8Br2/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8H,6H2",,133.0,BioQuest_BP,"Quest Database-Boiling Point (BP) and Melting Point (MP) Reference Table. AAT Bioquest, Inc., 13 Jan. 2025, https://www.aatbio.com/data-sets/boiling-point-bp-and-melting-point-mp-reference-table.",0.0.2
PSDI00000A,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7H,4-6H2,1-3H3",5.0,,BioQuest_MP,"Quest Database-Boiling Point (BP) and Melting Point (MP) Reference Table. AAT Bioquest, Inc., 13 Jan. 2025, https://www.aatbio.com/data-sets/boiling-point-bp-and-melting-point-mp-reference-table.",0.0.1
PSDI00000A,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7H,4-6H2,1-3H3",6.1,,BioQuest_MP,"Quest Database-Boiling Point (BP) and Melting Point (MP) Reference Table. AAT Bioquest, Inc., 13 Jan. 2025, https://www.aatbio.com/data-sets/boiling-point-bp-and-melting-point-mp-reference-table.",0.0.1
PSDI00000A,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7H,4-6H2,1-3H3",,193.0,BioQuest_BP,"Quest Database-Boiling Point (BP) and Melting Point (MP) Reference Table. AAT Bioquest, Inc., 13 Jan. 2025, https://www.aatbio.com/data-sets/boiling-point-bp-and-melting-point-mp-reference-table.",0.0.2
