PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI000038,,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,XJKSTNDFUHDPQJ-UHFFFAOYSA-N,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,1,1,1,1,0,3,5,230.11,5.02,18.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.58
PSDI000040,,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",QVLAWKAXOMEXPM-UHFFFAOYSA-N,ClCC(Cl)(Cl)Cl,1,1,1,1,1,2,11,165.89,2.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
PSDI000043,,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,2,1,2,2,1,1,432,58.04,0.6,4.0,1.0,0.0,0.0,0.0,0.0,0.0,17.07,0.4
PSDI000049,,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,1,1,1,1,1,4,11,131.93,2.38,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
PSDI00004A,,"InChI=1S/C2HCl2F3/c3-1(4)2(5,6)7/h1H",OHMHBGPWCHTMQE-UHFFFAOYSA-N,FC(F)(F)C(Cl)Cl,1,1,1,1,1,1,1,151.94,2.35,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
PSDI000050,,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,QPFMBZIOSGYJDE-UHFFFAOYSA-N,ClC(Cl)C(Cl)Cl,1,1,1,1,1,3,10,165.89,2.59,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.53
PSDI000055,,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",UBOXGVDOUJQMTN-UHFFFAOYSA-N,ClCC(Cl)Cl,1,1,1,1,1,3,12,131.93,2.03,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.48
PSDI000056,,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",AJDIZQLSFPQPEY-UHFFFAOYSA-N,FC(F)(Cl)C(F)(Cl)Cl,1,1,1,1,1,2,1,185.9,2.92,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.55
PSDI00005E,,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl,1,1,1,1,1,2,11,97.97,1.81,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
PSDI00005F,,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl,1,1,1,1,1,3,18,95.95,1.94,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
PSDI00007F,,InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H,GBDZXPJXOMHESU-UHFFFAOYSA-N,Clc1ccc(Cl)c(Cl)c1Cl,1,1,1,1,1,3,1,213.89,4.3,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.45
PSDI00008B,,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)5(9)2-3/h1-2H,QZYNWJQFTJXIRN-UHFFFAOYSA-N,Clc1cc(Cl)c(Cl)c(Cl)c1,1,1,1,0,1,3,1,213.89,4.3,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.45
PSDI00009F,,InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H,RELMFMZEBKVZJC-UHFFFAOYSA-N,Clc1cccc(Cl)c1Cl,1,1,1,1,1,2,1,179.93,3.65,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.54
PSDI0000A3,,InChI=1S/C6H2Br4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,QCKHVNQHBOGZER-UHFFFAOYSA-N,Brc1cc(Br)c(Br)cc1Br,1,1,1,1,1,2,1,389.69,4.74,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.56
PSDI0000A4,,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,JHBKHLUZVFWLAG-UHFFFAOYSA-N,Clc1cc(Cl)c(Cl)cc1Cl,1,1,1,1,1,3,1,213.89,4.3,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.57
PSDI0000B1,,InChI=1S/C6H3Br3/c7-4-1-2-5(8)6(9)3-4/h1-3H,FWAJPSIPOULHHH-UHFFFAOYSA-N,Brc1ccc(Br)c(Br)c1,1,1,1,1,1,4,1,311.78,3.97,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.64
PSDI0000DE,,"InChI=1S/C3H5Br2Cl/c4-1-3(5)2-6/h3H,1-2H2",WBEJYOJJBDISQU-UHFFFAOYSA-N,ClCC(Br)CBr,1,2,1,1,1,2,1,233.84,2.38,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.65
PSDI0000E1,,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,PAAZPARNPHGIKF-UHFFFAOYSA-N,BrCCBr,1,1,2,2,1,3,16,185.87,1.78,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.55
PSDI0000E3,,"InChI=1S/C2Br2F4/c3-1(5,6)2(4,7)8",KVBKAPANDHPRDG-UHFFFAOYSA-N,FC(F)(Br)C(F)(F)Br,1,1,1,1,0,1,1,257.83,2.96,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
PSDI0000E5,,"InChI=1S/C2H2Cl2F2/c3-1-2(4,5)6/h1H2",SKDFWEPBABSFMG-UHFFFAOYSA-N,FC(F)(Cl)CCl,1,1,1,1,0,1,1,133.95,2.06,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.48
PSDI0000EC,,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,1,1,1,1,1,2,1,97.97,1.46,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.44
PSDI0000ED,,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,KFUSEUYYWQURPO-UHFFFAOYSA-N,ClC=CCl,1,2,1,1,1,7,7,95.95,1.94,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
PSDI00012A,,InChI=1S/C6H3Br3/c7-4-1-5(8)3-6(9)2-4/h1-3H,YWDUZLFWHVQCHY-UHFFFAOYSA-N,Brc1cc(Br)cc(Br)c1,1,1,1,1,0,2,1,311.78,3.97,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.68
PSDI00012B,,InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H,XKEFYDZQGKAQCN-UHFFFAOYSA-N,Clc1cc(Cl)cc(Cl)c1,1,1,1,1,1,3,1,179.93,3.65,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.57
PSDI000217,,InChI=1S/C2H4BrCl/c3-1-2-4/h1-2H2,IBYHHJPAARCAIE-UHFFFAOYSA-N,ClCCBr,1,1,1,1,0,2,2,141.92,1.62,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.49
PSDI000232,,"InChI=1S/C6H15N/c1-3-5-6-7-4-2/h7H,3-6H2,1-2H3",QHCCDDQKNUYGNC-UHFFFAOYSA-N,CCCCNCC,1,1,1,1,0,1,9,101.12,1.4,7.0,1.0,1.0,4.0,0.0,0.0,0.0,12.03,0.53
