PSDI,InChi,LogS (log(mol/L)),LogS Temperature (C),LogS Solvent InChi,Misc. MoleFraction,Misc. Temperature (C),Misc. Solvent InChi,Source,Citation,Master Version
PSDI000038,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,,,,0.01,38.05,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000038,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,,,,0.02,60.25,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000038,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,,,,0.02,64.25,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000038,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,,,,0.02,68.05,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000038,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,,,,0.03,77.65,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000038,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,-7.11,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI000038,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,-6.18,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI000038,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,-7.11,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",,,,0.0,0.0,InChI=1S/H2O/h1H2,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",,,,0.0,5.0,InChI=1S/H2O/h1H2,IUPAC,"The SDS is an ongoing work. Expressions of interest from qualified individuals interested in volume preparation as well as questions about the series and its use should be directed to the Editor-in-Chief, Mark Salomon <markinnj@comcast.net>.",0.0.5
