PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI000001,,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7-8,11H,4-6H2,1-3H3",IAIHUHQCLTYTSF-UHFFFAOYSA-N,CC12CCC(C1)C(C)(C)C2O,1,8,1,0,1,1,0,154.14,2.19,11.0,1.0,1.0,0.0,2.0,0.0,0.0,20.23,0.57
PSDI000004,,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3",NFLGAXVYCFJBMK-UHFFFAOYSA-N,CC1CCC(C(C)C)C(=O)C1,3,4,1,1,1,4,0,154.14,2.65,11.0,1.0,0.0,1.0,1.0,0.0,0.0,17.07,0.57
PSDI00000D,,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",WTARULDDTDQWMU-UHFFFAOYSA-N,C=C1CCC2CC1C2(C)C,1,4,2,1,1,1,0,136.13,3.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.45
PSDI00001D,,"InChI=1S/C3H5ClO/c4-1-3-2-5-3/h3H,1-2H2",BRLQWZUYTZBJKN-UHFFFAOYSA-N,ClCC1CO1,1,2,2,2,1,1,0,92.0,0.62,5.0,1.0,0.0,1.0,1.0,0.0,0.0,12.53,0.34
PSDI00003E,,"InChI=1S/C2HF5/c3-1(4)2(5,6)7/h1H",GTLACDSXYULKMZ-UHFFFAOYSA-N,FC(F)C(F)(F)F,1,1,1,1,1,1,0,120.0,1.81,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
PSDI000040,,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",QVLAWKAXOMEXPM-UHFFFAOYSA-N,ClCC(Cl)(Cl)Cl,1,1,1,1,1,2,11,165.89,2.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
PSDI000041,,"InChI=1S/C2H2F4/c3-1-2(4,5)6/h1H2",LVGUZGTVOIAKKC-UHFFFAOYSA-N,FCC(F)(F)F,1,1,1,1,1,1,0,102.01,1.52,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
PSDI000043,,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,2,1,2,2,1,1,432,58.04,0.6,4.0,1.0,0.0,0.0,0.0,0.0,0.0,17.07,0.4
PSDI000044,,"InChI=1S/C3H2F6O/c4-2(5,6)1(10)3(7,8)9/h1,10H",BYEAHWXPCBROCE-UHFFFAOYSA-N,OC(C(F)(F)F)C(F)(F)F,1,1,1,1,1,1,0,168.0,1.47,10.0,1.0,1.0,0.0,0.0,0.0,0.0,20.23,0.54
PSDI000049,,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,1,1,1,1,1,4,11,131.93,2.38,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
