PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI000002,,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3",NOOLISFMXDJSKH-UHFFFAOYSA-N,CC1CCC(C(C)C)C(O)C1,1,8,2,1,0,6,0,156.15,2.44,11.0,1.0,1.0,1.0,1.0,0.0,0.0,20.23,0.62
PSDI000004,,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3",NFLGAXVYCFJBMK-UHFFFAOYSA-N,CC1CCC(C(C)C)C(=O)C1,3,4,1,1,1,4,0,154.14,2.65,11.0,1.0,0.0,1.0,1.0,0.0,0.0,17.07,0.57
PSDI000009,,"InChI=1S/C8H8Br2/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8H,6H2",SHKKTLSDGJRCTR-UHFFFAOYSA-N,BrCC(Br)c1ccccc1,1,2,1,1,0,0,0,261.9,3.52,10.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.72
PSDI00000A,,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7H,4-6H2,1-3H3",LHXDLQBQYFFVNW-UHFFFAOYSA-N,CC12CCC(C1)C(C)(C)C2=O,1,4,2,1,0,2,0,152.12,2.4,11.0,1.0,0.0,0.0,2.0,0.0,0.0,17.07,0.52
PSDI00000B,,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3",KWGRBVOPPLSCSI-UHFFFAOYSA-N,CNC(C)C(O)c1ccccc1,1,4,3,1,0,4,0,165.12,1.33,12.0,2.0,2.0,3.0,1.0,0.0,1.0,32.26,0.71
PSDI00000C,,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3",DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC12CCC(CC1=O)C2(C)C,2,4,2,2,0,4,0,152.12,2.4,11.0,1.0,0.0,0.0,2.0,0.0,0.0,17.07,0.52
PSDI00000D,,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",WTARULDDTDQWMU-UHFFFAOYSA-N,C=C1CCC2CC1C2(C)C,1,4,2,1,1,1,0,136.13,3.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.45
PSDI00000F,,"InChI=1S/C8H9Br/c9-7-6-8-4-2-1-3-5-8/h1-5H,6-7H2",WMPPDTMATNBGJN-UHFFFAOYSA-N,BrCCc1ccccc1,1,1,1,1,0,1,0,183.99,2.62,9.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.62
PSDI000010,,"InChI=1S/C13H12N2O/c1-16-13-10-6-5-9-12(13)15-14-11-7-3-2-4-8-11/h2-10H,1H3",JDNOCURWWICHSA-UHFFFAOYSA-N,COc1ccccc1N=Nc1ccccc1,1,2,1,1,0,0,0,212.09,4.11,16.0,3.0,0.0,3.0,2.0,0.0,2.0,33.95,0.7
PSDI000013,,"InChI=1S/C9H11ClO/c10-7-4-8-11-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2",AZXLOLRTEJEZHJ-UHFFFAOYSA-N,ClCCCOc1ccccc1,1,1,1,1,0,0,0,170.05,2.69,11.0,1.0,0.0,4.0,1.0,0.0,1.0,9.23,0.5
PSDI000017,,"InChI=1S/C8H8N2/c9-6-5-7-1-3-8(10)4-2-7/h1-4H,5,10H2",YCWRFIYBUQBHJI-UHFFFAOYSA-N,N#CCc1ccc(N)cc1,1,1,1,1,0,0,0,132.07,1.33,10.0,2.0,1.0,1.0,1.0,0.0,1.0,49.81,0.59
PSDI000018,,"InChI=1S/C13H11Cl/c14-13-8-6-12(7-9-13)10-11-4-2-1-3-5-11/h1-9H,10H2",NPOGRKGIBGKRNI-UHFFFAOYSA-N,Clc1ccc(Cc2ccccc2)cc1,1,1,1,1,0,0,0,202.05,3.93,14.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.69
PSDI00001B,,"InChI=1S/C13H12N2O/c1-16-13-9-7-12(8-10-13)15-14-11-5-3-2-4-6-11/h2-10H,1H3",LGCRPKOHRIXSEG-UHFFFAOYSA-N,COc1ccc(N=Nc2ccccc2)cc1,1,2,1,1,0,2,0,212.09,4.11,16.0,3.0,0.0,3.0,2.0,0.0,2.0,33.95,0.7
PSDI00001D,,"InChI=1S/C3H5ClO/c4-1-3-2-5-3/h3H,1-2H2",BRLQWZUYTZBJKN-UHFFFAOYSA-N,ClCC1CO1,1,2,2,2,1,1,0,92.0,0.62,5.0,1.0,0.0,1.0,1.0,0.0,0.0,12.53,0.34
PSDI00001E,,"InChI=1S/C7H6Cl2/c8-7(9)6-4-2-1-3-5-6/h1-5,7H",CAHQGWAXKLQREW-UHFFFAOYSA-N,ClC(Cl)c1ccccc1,1,1,1,1,0,1,0,159.98,3.16,9.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.55
PSDI00001F,,"InChI=1S/C3H12NO9P3/c5-14(6,7)1-4(2-15(8,9)10)3-16(11,12)13/h1-3H2,(H2,5,6,7)(H2,8,9,10)(H2,11,12,13)",YDONNITUKPKTIG-UHFFFAOYSA-N,O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O,1,1,1,1,0,0,0,298.97,-1.31,16.0,4.0,6.0,6.0,0.0,0.0,0.0,175.83,0.32
PSDI00002B,,"InChI=1S/C14H14O2/c1-15-13-9-5-3-7-11(13)12-8-4-6-10-14(12)16-2/h3-10H,1-2H3",VGMKUVCDINAAFC-UHFFFAOYSA-N,COc1ccccc1-c1ccccc1OC,1,1,1,1,0,0,0,214.1,3.37,16.0,2.0,0.0,3.0,2.0,0.0,2.0,18.46,0.78
PSDI00002C,,"InChI=1S/C14H14/c1-11-7-3-5-9-13(11)14-10-6-4-8-12(14)2/h3-10H,1-2H3",ABMKWMASVFVTMD-UHFFFAOYSA-N,Cc1ccccc1-c1ccccc1C,1,1,1,1,0,0,0,182.11,3.97,14.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.63
PSDI00002D,,"InChI=1S/C14H14/c1-2-12-8-6-7-11-14(12)13-9-4-3-5-10-13/h3-11H,2H2,1H3",DLMYHUARHITGIJ-UHFFFAOYSA-N,CCc1ccccc1-c1ccccc1,1,1,1,1,0,0,0,182.11,3.92,14.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.66
PSDI00002E,,InChI=1S/C12H9F/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,KLECYOQFQXJYBC-UHFFFAOYSA-N,Fc1ccccc1-c1ccccc1,1,1,1,1,0,0,0,172.07,3.49,13.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.62
PSDI00002F,,"InChI=1S/C13H12O/c1-14-13-10-6-5-9-12(13)11-7-3-2-4-8-11/h2-10H,1H3",NLWCWEGVNJVLAX-UHFFFAOYSA-N,COc1ccccc1-c1ccccc1,1,1,1,1,0,0,0,184.09,3.36,14.0,1.0,0.0,2.0,2.0,0.0,2.0,9.23,0.69
PSDI000030,,"InChI=1S/C14H14O2/c1-15-13-7-3-5-11(9-13)12-6-4-8-14(10-12)16-2/h3-10H,1-2H3",UCHNVSDXSPIKRG-UHFFFAOYSA-N,COc1cccc(-c2cccc(OC)c2)c1,1,1,1,1,0,0,0,214.1,3.37,16.0,2.0,0.0,3.0,2.0,0.0,2.0,18.46,0.78
PSDI000031,,"InChI=1S/C14H14/c1-11-6-8-13(9-7-11)14-5-3-4-12(2)10-14/h3-10H,1-2H3",RBIDPZJTXCPESJ-UHFFFAOYSA-N,Cc1ccc(-c2cccc(C)c2)cc1,1,1,1,1,0,0,0,182.11,3.97,14.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.63
PSDI000032,,"InChI=1S/C14H14O/c1-2-15-14-10-6-9-13(11-14)12-7-4-3-5-8-12/h3-11H,2H2,1H3",WCZZIGCDPVIDGI-UHFFFAOYSA-N,CCOc1cccc(-c2ccccc2)c1,1,1,1,1,0,0,0,198.1,3.75,15.0,1.0,0.0,3.0,2.0,0.0,2.0,9.23,0.73
PSDI000034,,"InChI=1S/C16H12N2O2/c1-11-7-13(3-5-15(11)17-9-19)14-4-6-16(18-10-20)12(2)8-14/h3-8H,1-2H3",ICLCCFKUSALICQ-UHFFFAOYSA-N,Cc1cc(-c2ccc(N=C=O)c(C)c2)ccc1N=C=O,1,1,1,1,0,1,0,264.09,3.91,20.0,4.0,0.0,3.0,2.0,0.0,2.0,58.86,0.62
PSDI000035,,InChI=1S/C12H9I/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,NXYICUMSYKIABQ-UHFFFAOYSA-N,Ic1ccc(-c2ccccc2)cc1,1,1,1,1,0,0,0,279.97,3.96,13.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.69
PSDI000036,,"InChI=1S/C4H6S/c1-3-5-4-2/h3-4H,1-2H2",UIYCHXAGWOYNNA-UHFFFAOYSA-N,C=CSC=C,1,1,1,1,0,0,0,86.02,2.01,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5
PSDI000037,,InChI=1S/C24H18/c1-3-11-19(12-4-1)21-15-7-9-17-23(21)24-18-10-8-16-22(24)20-13-5-2-6-14-20/h1-18H,YAVCXSHORWKJQQ-UHFFFAOYSA-N,c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2)cc1,1,1,1,1,0,0,0,306.14,6.69,24.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,0.4
PSDI000038,,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,XJKSTNDFUHDPQJ-UHFFFAOYSA-N,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,1,1,1,1,0,3,5,230.11,5.02,18.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.58
PSDI00003A,,"InChI=1S/C19H24/c1-2-3-4-11-16-19(17-12-7-5-8-13-17)18-14-9-6-10-15-18/h5-10,12-15,19H,2-4,11,16H2,1H3",MZLKNWMNBXHXMA-UHFFFAOYSA-N,CCCCCCC(c1ccccc1)c1ccccc1,1,1,1,1,0,0,0,252.19,5.79,19.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,0.55
PSDI00003B,,"InChI=1S/C3HCl7/c4-1(5)2(6,7)3(8,9)10/h1H",YFIIENAGGCUHIQ-UHFFFAOYSA-N,ClC(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,1,1,1,1,0,0,0,281.79,4.33,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.63
PSDI00003C,,"InChI=1S/C4H3F7O/c1-12-4(10,11)2(5,6)3(7,8)9/h1H3",NOPJRYAFUXTDLX-UHFFFAOYSA-N,COC(F)(F)C(F)(F)C(F)(F)F,1,1,1,1,0,0,0,200.01,2.42,12.0,1.0,0.0,2.0,0.0,0.0,0.0,9.23,0.62
PSDI00003D,,"InChI=1S/C3H2Cl6/c4-1-2(5,6)3(7,8)9/h1H2",OPIPOVICJAKBHX-UHFFFAOYSA-N,ClCC(Cl)(Cl)C(Cl)(Cl)Cl,1,1,1,1,0,0,0,247.83,3.77,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.62
PSDI00003E,,"InChI=1S/C2HF5/c3-1(4)2(5,6)7/h1H",GTLACDSXYULKMZ-UHFFFAOYSA-N,FC(F)C(F)(F)F,1,1,1,1,1,1,0,120.0,1.81,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
